Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
Blue Moon,MECO,9/19/81,107,106,3,-1,0,0,0,0,1
Apache,JORGE INGMANN,1/23/61,94,2,17,-1,0,0,0,0,0
Dedicated To The One I Love,BERNADETTE PETERS,8/8/81,87,65,8,-1,0,0,0,0,4
Runaway,JEFFERSON STARSHIP,5/27/78,79,12,16,41,0,0,0,0,0
On The Rebound,FLOYD CRAMER,3/6/61,51,4,13,26,0,0,0,0,7
But I Do,CLARENCE (FROGMAN) HENRY,2/20/61,90,4,16,34,0,0,0,0,0
Surrender,CHEAP TRICK,7/22/78,84,62,8,69,8,0,0,0,0
Don't Worry,MARTY ROBBINS,1/23/61,110,3,16,31,0,0,0,2,4
Mother-In-Law,ERNIE K-DOE,3/27/61,55,1,14,28,0,0,0,0,1
Walk Right Back,EVERLY BROTHERS,2/6/61,71,7,13,47,0,0,1,0,4
Pony Time,CHUBBY CHECKER,1/23/61,49,1,16,28,0,0,0,1,1
Asia Minor,KOKOMO,2/20/61,75,8,14,15,0,0,0,0,0
Take Good Care Of Her,MEL CARTER,10/1/66,99,78,5,9,0,0,0,0,1
Please Love Me Forever,BOBBY VINTON,9/23/67,102,6,14,41,0,0,0,0,1
Think Twice,CELINE DION,8/20/94,96,95,5,52,0,0,0,5,16
One Mint Julip,RAY CHARLES,3/6/61,70,8,13,-1,0,0,1,17,37
Gee Whiz,THE INNOCENTS,11/7/60,113,28,13,4,0,0,0,0,0
Baby Blue,ECHOES,3/6/61,65,12,12,10,0,0,0,0,0
You Can Depend On Me,BRENDA LEE,3/27/61,62,6,12,14,0,0,1,0,4
One Hundred Pounds Of Clay,GENE McDANIELS,3/13/61,103,3,16,-1,0,0,0,0,0
Wheels,FOO FIGHTERS,10/17/09,73,72,10,60,0,0,0,10,25
Please Tell Me Why,JACKIE WILSON,3/13/61,77,20,8,25,0,0,0,0,2
I've Told Every Little Star,LINDA SCOTT,3/13/61,86,3,14,0,0,0,0,0,0
Portrait Of My Love,STEVE LAWRENCE,2/27/61,107,9,17,16,0,0,0,1,2
