Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won
Blue Moon,MECO,9/19/1981,107,106,3,-1,0,0
Apache,JORGE INGMANN,1/23/1961,94,2,17,-1,0,0
Dedicated To The One I Love,BERNADETTE PETERS,8/8/1981,87,65,8,-1,0,0
Runaway,JEFFERSON STARSHIP,5/27/1978,79,12,16,41,0,0
On The Rebound,FLOYD CRAMER,3/6/1961,51,4,13,26,0,0
But I Do,CLARENCE (FROGMAN) HENRY,2/20/1961,90,4,16,34,0,0
Surrender,CHEAP TRICK,7/22/1978,84,62,8,69,8,0
Don't Worry,MARTY ROBBINS,1/23/1961,110,3,16,31,0,0
Mother-In-Law,ERNIE K-DOE,3/27/1961,55,1,14,28,0,0
Walk Right Back,EVERLY BROTHERS,2/6/1961,71,7,13,47,0,0
Pony Time,CHUBBY CHECKER,1/23/1961,49,1,16,28,0,0
Asia Minor,KOKOMO,2/20/1961,75,8,14,15,0,0
Take Good Care Of Her,MEL CARTER,10/1/1966,99,78,5,9,0,0
Please Love Me Forever,BOBBY VINTON,9/23/1967,102,6,14,41,0,0
Think Twice,CELINE DION,8/20/1994,96,95,5,52,0,0
One Mint Julip,RAY CHARLES,3/6/1961,70,8,13,-1,0,0
Gee Whiz,THE INNOCENTS,11/7/1960,113,28,13,4,0,0
Baby Blue,ECHOES,3/6/1961,65,12,12,10,0,0
You Can Depend On Me,BRENDA LEE,3/27/1961,62,6,12,14,0,0
One Hundred Pounds Of Clay,GENE McDANIELS,3/13/1961,103,3,16,-1,0,0
Wheels,FOO FIGHTERS,10/17/2009,73,72,10,60,0,0
Please Tell Me Why,JACKIE WILSON,3/13/1961,77,20,8,25,0,0
I've Told Every Little Star,LINDA SCOTT,3/13/1961,86,3,14,0,0,0
Portrait Of My Love,STEVE LAWRENCE,2/27/1961,107,9,17,16,0,0
Where The Boys Are,CONNIE FRANCIS,1/16/1961,90,4,15,36,0,0
Once Upon A Time,MARVIN GAYE &amp; MARY WELLS,5/2/1964,73,19,9,-1,0,0
Model Girl,JOHNNY MAESTRO,2/6/1961,90,20,12,6,0,0
Tonight My Love Tonight,PAUL ANKA,3/13/1961,56,13,11,31,0,0
Hide Away,DAYA,10/3/2015,97,97,1,67,0,0
Find Another Girl,JERRY BUTLER,3/6/1961,74,27,10,11,0,0
Ebony Eyes,BOB WELCH,1/28/1978,88,14,17,41,0,0
Trust In Me,ETTA JAMES,3/13/1961,78,30,9,45,0,0
Fell In Love On Monday,FATS DOMINO,3/20/1961,84,32,6,19,0,0
Happy Birthday Blues,KATHY YOUNG &amp; THE INNOCENTS,2/6/1961,114,30,12,-1,0,0
Tenderly,BERT KAEMPFERT,3/27/1961,87,31,7,8,0,0
Some Kind Of Wonderful,SOUL BROTHER SIX,9/2/1967,129,129,2,-1,0,0
Daddy's Home,SHEP &amp; THE LIMELITES,3/27/1961,88,2,14,-1,0,0
Ginnie Bell,PAUL DINO,3/13/1961,75,38,6,-1,0,0
That's It - I Quit - I'm Movin',SAM COOKE,3/6/1961,66,31,8,43,0,0
Bewildered,JAMES BROWN,2/13/1961,103,40,10,20,0,0
Just For Old Time's Sake,McGUIRE SISTERS,3/13/1961,89,20,14,4,0,0
Shu Rah,FATS DOMINO,3/20/1961,97,32,7,20,0,0
One Eyed Jacks,FERRANTE &amp; TEICHER,3/20/1961,75,37,7,-1,0,0
Spanish Harlem,ARETHA FRANKLIN,7/31/1971,69,2,12,44,0,0
Bye Bye Baby,BIG BROTHER AND THE HOLDING COMPANY,9/9/1967,122,121,2,31,0,0
Theme From Dixie,DUANE EDDY,3/20/1961,93,39,7,3,0,0
Tonight I Fell In Love,TOKENS,3/6/1961,93,15,14,13,0,0
Like Long Hair,PAUL REVERE AND THE RAIDERS,3/20/1961,119,38,7,3,0,0
Brass Buttons,STRING-A-LONGS,3/27/1961,80,35,7,4,0,0
To Be Loved,PENTAGONS,2/20/1961,84,48,10,29,0,0
The Second Time Around,FRANK SINATRA,3/6/1961,86,50,7,25,1,0
Funny,JOE HINTON,8/15/1964,84,13,12,4,0,0
I'm In The Mood For Love,CHIMES,3/27/1961,92,38,9,5,0,0
Ain't It Baby,MIRACLES,3/27/1961,85,49,6,8,0,0
Lazy River,BOBBY DARIN,2/6/1961,94,14,10,31,0,0
My Three Sons,LAWRENCE WELK,3/20/1961,94,55,7,-1,0,0
Bumble Boogie,B. BUMBLE AND THE STINGERS,3/20/1961,104,21,11,6,0,0
Baby Sittin' Boogie,BUZZ CLIFFORD,1/9/1961,96,6,14,4,0,0
The Continental Walk,HANK BALLARD,4/3/1961,73,33,8,16,0,0
Your One And Only Love,JACKIE WILSON,3/13/1961,100,40,6,3,0,0
Merry-Go-Round,MARV JOHNSON,3/6/1961,107,61,7,3,0,0
Frogg,BROTHERS FOUR,4/3/1961,118,32,6,18,0,0
Sleepy Eyed John,JOHNNY HORTON,3/27/1961,89,54,7,31,0,0
The Very Thought Of You,RICK NELSON,4/18/1964,107,26,8,-1,0,0
Ling-Ting-Tong,BUDDY KNOX,3/6/1961,97,65,7,11,0,0
Foolin' Around,CHANGING FACES,11/19/1994,96,38,20,38,0,0
The Watusi,VIBRATIONS,2/13/1961,107,25,9,9,0,0
Welcome Home,WALTER JACKSON,5/8/1965,134,95,8,9,0,0
African Walk,CANNONBALL ADDERLEY,4/3/1961,104,41,7,-1,0,0
Trees,THE PLATTERS,3/20/1961,114,62,6,7,0,0
Running Scared,ROY ORBISON,4/10/1961,71,1,17,49,0,0
Seventeen,WINGER,2/25/1989,78,26,16,52,0,0
Exodus,BOB MARLEY AND THE WAILERS,8/13/1977,103,103,5,51,0,0
