Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,days_before_charting,TopSongsArtist100,Entry_Year,Age_Percentage_15_30
The Woman I Love,B.B. KING,0.444289961,0.563730618,113,94,7,0.582,0.574,1,-6.523,0.0826,0.682,0,0.255,0.841,115.042,184213,4,0,0,1,0,0,69,0,0,0,22,1968,23.1
Better Not Look Down,B.B. KING,0.689888279,0.532120096,110,110,1,0.723,0.734,1,-11.088,0.235,0.745,0.0164,0.0443,0.742,102.164,202427,4,0,0,1,0,0,69,0,0,0,22,1979,27.4
Kayleigh,MARILLION,0.819056945,0.675833892,89,74,8,0.562,0.671,2,-7.21,0.0269,0.0188,0.00378,0.0947,0.595,106.002,243413,4,0,0,0,0,0,60,0,0,0,1,1985,26
Sweet Georgia Brown,THE CARROLL BROTHERS,0.164464723,0.311401673,119,119,1,0.832,0.344,11,-14.572,0.0427,0.981,0.887,0.104,0.943,106.528,189022,4,0,0,0,0,0,57.77835159,0,0,0,0,1962,20.2
Do You Miss Me,JOCELYN ENRIQUEZ,0.721681285,0.713798464,95,49,23,0.75,0.916,7,-6.496,0.0339,0.000864,0.231,0.313,0.687,129.966,250000,4,0,0,0,0,0,36,0,0,0,2,1996,21.2
The Call,ANNE MURRAY,0.553745965,0.571929356,110,91,6,0.577,0.789,7,-6.17,0.0435,0.152,0,0.209,0.778,127.457,154733,4,0,0,0,4,12,56,1,3,14,14,1976,26.9
It May Be Winter Outside (But In My Heart It's Spring),FELICE TAYLOR,0.423559721,0.378269106,112,42,7,0.458,0.665,0,-6.113,0.0442,0.635,0.0265,0.0815,0.705,131.285,171533,4,0,0,0,0,0,11,0,0,0,1,1967,22.5
Super Bass,NICKI MINAJ,0.965189031,0.942579141,98,3,39,0.727,0.866,11,-4.288,0.185,0.282,3.87E-06,0.585,0.653,127.01,200013,4,1,0,0,0,10,95,0,3,0,9,2011,20.9
Lonely Street,ANDY WILLIAMS,0.617797946,0.734449745,111,5,17,0.285,0.155,9,-13.249,0.0307,0.925,0.0285,0.258,0.256,99.937,162067,3,0,0,0,1,4,68,0,3,0,16,1959,19.6
I Didn't Know What Time It Was,RAY CHARLES,0.284474005,0.501366117,135,105,4,0.393,0.408,2,-13.831,0.0335,0.847,0.381,0.119,0.271,131.842,455200,4,0,0,1,17,37,57.77835159,2,6,0,18,1969,23.5
Give Peace A Chance,PLASTIC ONO BAND,0.760376096,0.666368108,62,14,9,0.442,0.853,1,-12.57,0.123,0.326,0,0.816,0.208,83.871,292973,4,0,0,0,0,0,54,0,0,0,2,1969,23.5
Don't Ask Me To Be Friends,THE EVERLY BROTHERS,0.186769052,0.49302841,91,48,7,0.591,0.106,7,-13.773,0.0343,0.977,0.0143,0.109,0.341,110.431,157413,4,0,0,1,0,0,63,0,4,0,7,1962,20.2
This Little Girl,GARY U.S. BONDS,0.705382035,0.692813119,67,11,18,0.505,0.898,11,-7.511,0.0452,0.0635,0,0.28,0.859,145.465,222707,4,1,0,0,0,0,36,1,0,0,4,1981,27.3
"Why, Why, Bye, Bye",BOB LUMAN,0.358222391,0.286733659,106,106,2,0.54,0.754,3,-13.959,0.0375,0.738,0.193,0.114,0.894,88.292,108416,4,0,0,0,0,6,35,0,1,0,0,1960,19.6
High On A Hill,SCOTT ENGLISH,0.480391614,0.280586468,105,77,5,0.309,0.553,7,-4.903,0.0293,0.865,0.000287,0.329,0.323,92.808,161611,3,0,0,0,0,0,6,0,0,0,1,1964,21.2
Drink A Beer,LUKE BRYAN,0.875764915,0.882121942,79,31,20,0.571,0.43,8,-7.439,0.0319,0.812,7.99E-05,0.164,0.285,77.961,202627,4,0,0,0,0,0,83,0,0,0,21,2013,20.9
You're Lookin' Good,DEE CLARK,0.199680718,0.393617424,109,43,12,0.728,0.541,7,-4.642,0.0359,0.594,0,0.202,0.569,119.744,218880,4,0,0,0,0,0,24,0,1,0,8,1960,19.6
My Kinda Girl,BABYFACE,0.678580641,0.683336563,71,30,13,0.711,0.804,4,-7.148,0.0445,0.0548,0.000314,0.0732,0.69,99.927,279267,4,0,0,0,11,49,57.77835159,0,4,0,5,1990,23.5
Brooklyn,CODY JAMESON,0.49040224,0.524849042,87,74,4,0.465,0.764,6,-4.931,0.0482,0.589,9.56E-06,0.741,0.692,100.759,275613,4,0,0,0,0,0,57.77835159,0,0,0,1,1977,27.3
Didn't Know It Was Love,SURVIVOR,0.695434072,0.67717778,95,61,10,0.613,0.683,2,-11.156,0.0332,0.122,0,0.241,0.637,128.416,262800,4,0,0,0,1,1,71,1,3,0,11,1988,24.5
Houston,DEAN MARTIN,0.747428184,0.663469543,79,21,9,0.602,0.292,11,-14.969,0.0859,0.829,0,0.109,0.319,119.081,161067,4,0,0,1,0,1,72,1,2,0,14,1965,21.7
Walk In The Night,JR. WALKER AND THE ALL STARS,0.636041135,0.672861578,86,46,12,0.582,0.848,6,-5.014,0.0298,0.13,0.825,0.027,0.967,106.697,249840,4,0,0,0,0,0,58,0,0,0,8,1972,25.3
Black Lassie,CHEECH &amp; CHONG,0.46823777,0.407850662,89,55,6,0.521,0.741,5,-8.257,0.279,0.154,6.96E-05,0.565,0.624,84.892,230000,4,0,0,0,0,0,21,0,1,0,4,1974,26.2
The Horizontal Bop,BOB SEGER,0.664383779,0.694921493,90,42,12,0.577,0.839,0,-4.054,0.125,0.153,1.39E-05,0.103,0.777,152.303,243360,4,0,0,0,0,6,71,1,3,0,11,1980,27.4
I Will Be,LEONA LEWIS,0.829274112,0.815401969,94,66,6,0.406,0.6,7,-4.157,0.0298,0.132,0,0.15,0.205,149.987,238640,4,0,0,0,0,3,75,1,0,0,2,2009,21
Come On Down To My Boat,EVERY MOTHER'S SON,0.650629322,0.664481506,85,6,15,0.606,0.686,10,-7.292,0.0362,0.493,1.18E-06,0.039,0.96,127.882,155200,4,0,0,0,0,0,21,0,1,0,0,1967,22.5
Keep On Smilin',WET WILLIE,0.730506482,0.723481671,93,10,19,0.64,0.442,7,-15.119,0.0424,0.0791,0.000344,0.0608,0.857,102.969,238533,4,0,0,0,0,0,57.77835159,0,1,0,5,1974,26.2
I'm Better Off Without You,MAIN INGREDIENT,0.532382156,0.494125596,99,91,2,0.345,0.363,5,-11.656,0.0285,0.904,4.38E-06,0.494,0.55,136.048,187027,4,0,0,0,0,0,49,0,0,0,4,1970,24
I've Got To Go On Without You,THE VAN DYKES,0.51346408,0.308846634,114,109,5,0.369,0.367,5,-8.393,0.0319,0.704,0.01,0.096,0.286,83.068,177520,3,0,0,0,0,0,9,0,0,0,1,1966,22.1
An Open Letter To My Teenage Son,VICTOR LUNDBERG,0.424313939,0.400954746,84,10,6,0.559,0.359,0,-16.771,0.505,0.88,0,0.152,0.713,92.636,263893,3,0,0,0,0,1,3,0,1,0,0,1967,22.5
Goin' To The Bank,COMMODORES,0.488368594,0.665214644,98,65,12,0.779,0.671,2,-12.895,0.0372,0.0735,1.38E-06,0.0695,0.668,116.376,258667,4,0,0,0,1,9,69,1,4,0,9,1986,25.5
The Closer You Get,RITA COOLIDGE,0.358352411,0.560348145,106,103,6,0.592,0.613,0,-8.374,0.0251,0.292,3.26E-06,0.106,0.637,104.821,263107,4,0,0,0,2,3,45,0,1,0,4,1981,27.3
Amerikan Music,STEVE ALAIMO,0.157040865,0.305016833,81,79,3,0.625,0.63,0,-10.6,0.0446,0.692,0.000212,0.0858,0.933,138.397,261600,4,0,0,0,0,0,9,0,0,0,5,1972,25.3
Chain Of Fools,JIMMY SMITH,0.361380359,0.451376275,110,100,5,0.638,0.64,10,-9.604,0.0575,0.6,0.582,0.0799,0.755,125.669,157013,4,0,0,0,0,1,57.77835159,0,0,0,6,1968,23.1
Nolia Clap,JUVENILE WAKO &amp; SKIP,0.723769516,0.750676838,67,31,20,0.83,0.942,0,-2.365,0.372,0.0697,0,0.275,0.953,159.861,270333,4,0,0,0,0,0,57.77835159,0,0,0,1,2004,20.9
Superstition,STEVIE WONDER,0.896558336,0.804544974,82,1,16,0.648,0.751,8,-8.582,0.0806,0.0182,0.000401,0.0418,0.863,100.437,244827,4,4,0,1,25,74,57.77835159,6,12,25,23,1972,25.3
