,Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
0,Apache,JORGE INGMANN,1/23/1961,94,2,17,0,607661,0.7340000000000001,0.504,0.0,-14.28,1.0,0.0408,0.13699999999999998,0.846,0.28300000000000003,0.963,111.025,169320.0,4.0,0,0,0,57.77835159102765,0,1,0
1,Runaway,JEFFERSON STARSHIP,5/27/1978,79,12,16,41,3866731,0.34600000000000003,0.469,5.0,-14.022,1.0,0.0403,0.301,0.00485,0.215,0.672,174.13299999999998,321907.0,4.0,0,0,0,53.0,0,3,14
2,On The Rebound,FLOYD CRAMER,3/6/1961,51,4,13,26,427094,0.535,0.6829999999999999,9.0,-11.677,1.0,0.0334,0.371,0.0133,0.205,0.912,150.74200000000002,126107.0,4.0,0,0,0,41.0,0,2,3
3,But I Do,CLARENCE (FROGMAN) HENRY,2/20/1961,90,4,16,34,267988,0.66,0.555,10.0,-5.329,1.0,0.0278,0.581,0.0,0.13,0.856,109.84700000000001,141200.0,4.0,0,0,0,39.0,0,1,1
4,Surrender,CHEAP TRICK,7/22/1978,84,62,8,69,6039172,0.524,0.955,0.0,-7.081,1.0,0.0411,0.00717,8.77e-06,0.659,0.8690000000000001,133.849,253733.0,4.0,8,0,0,67.0,1,1,11
5,Don't Worry,MARTY ROBBINS,1/23/1961,110,3,16,31,1720790,0.648,0.165,4.0,-16.445999999999998,1.0,0.0348,0.879,0.00021600000000000002,0.13,0.435,99.585,194160.0,4.0,0,0,0,61.0,1,1,10
6,Mother-In-Law,ERNIE K-DOE,3/27/1961,55,1,14,28,323354,0.747,0.631,7.0,-8.306000000000001,0.0,0.0409,0.713,0.00023999999999999998,0.303,0.753,127.416,153600.0,4.0,0,0,0,34.0,1,0,5
7,Walk Right Back,EVERLY BROTHERS,2/6/1961,71,7,13,47,606424,0.624,0.358,1.0,-13.199000000000002,1.0,0.0342,0.752,0.0,0.0593,0.871,135.797,139640.0,4.0,0,0,1,63.0,1,4,7
8,Pony Time,CHUBBY CHECKER,1/23/1961,49,1,16,28,788783,0.456,0.635,8.0,-4.593999999999999,1.0,0.0284,0.00928,4.44e-06,0.128,0.897,77.35300000000001,144589.0,4.0,0,0,0,56.0,1,4,20
9,Asia Minor,KOKOMO,2/20/1961,75,8,14,15,141727,0.45899999999999996,0.534,2.0,-11.925999999999998,0.0,0.0305,0.665,0.825,0.18,0.9309999999999999,202.954,118133.0,4.0,0,0,0,21.0,0,1,0
10,Take Good Care Of Her,MEL CARTER,10/1/1966,99,78,5,9,5244,0.348,0.29,4.0,-11.089,1.0,0.0333,0.867,0.0,0.31,0.366,103.697,166907.0,4.0,0,0,0,34.0,0,2,6
11,Please Love Me Forever,BOBBY VINTON,9/23/1967,102,6,14,41,1501076,0.455,0.265,6.0,-11.402000000000001,0.0,0.028999999999999998,0.615,1.0199999999999999e-05,0.237,0.278,76.005,157533.0,4.0,0,0,0,57.0,3,3,16
12,Think Twice,CELINE DION,8/20/1994,96,95,5,52,14886557,0.547,0.397,2.0,-10.463,0.0,0.0271,0.387,0.0,0.14,0.27699999999999997,134.346,288000.0,4.0,0,0,0,78.0,1,3,6
13,Gee Whiz,THE INNOCENTS,11/7/1960,113,28,13,4,18128,0.645,0.131,4.0,-13.981,1.0,0.03,0.821,0.0,0.106,0.473,94.823,149227.0,4.0,0,0,0,17.0,0,0,1
14,Baby Blue,ECHOES,3/6/1961,65,12,12,10,416443,0.5,0.373,7.0,-13.548,1.0,0.0275,0.779,0.0,0.0667,0.727,132.368,156813.0,4.0,0,0,0,15.0,0,0,1
15,You Can Depend On Me,BRENDA LEE,3/27/1961,62,6,12,14,79282,0.5489999999999999,0.0858,11.0,-16.893,1.0,0.0285,0.873,5.59e-05,0.11800000000000001,0.251,91.94,212173.0,3.0,0,0,1,63.0,2,8,15
16,Wheels,FOO FIGHTERS,10/17/2009,73,72,10,60,6547631,0.426,0.792,9.0,-4.709,1.0,0.0374,0.000495,5.1e-06,0.142,0.557,161.994,278213.0,4.0,0,0,0,85.0,0,0,9
17,Please Tell Me Why,JACKIE WILSON,3/13/1961,77,20,8,25,39358,0.47200000000000003,0.397,10.0,-5.409,1.0,0.0362,0.804,0.0,0.301,0.672,106.08200000000001,122000.0,3.0,0,0,0,64.0,0,4,28
18,I've Told Every Little Star,LINDA SCOTT,3/13/1961,86,3,14,0,1344626,0.49,0.498,9.0,-11.307,1.0,0.0417,0.0245,0.00492,0.107,0.603,181.495,169227.0,4.0,0,0,0,0.0,0,1,2
19,Portrait Of My Love,STEVE LAWRENCE,2/27/1961,107,9,17,16,593945,0.34700000000000003,0.237,0.0,-13.437999999999999,1.0,0.0295,0.97,0.009179999999999999,0.142,0.254,88.885,173490.0,4.0,0,0,0,35.0,0,3,3
20,Where The Boys Are,CONNIE FRANCIS,1/16/1961,90,4,15,36,944902,0.342,0.332,7.0,-7.367999999999999,1.0,0.0293,0.809,0.0,0.335,0.396,108.91799999999999,159933.0,3.0,0,0,0,56.0,2,11,19
21,Once Upon A Time,MARVIN GAYE &amp; MARY WELLS,5/2/1964,73,19,9,39,109476,0.7020000000000001,0.439,8.0,-11.185,1.0,0.0265,0.47,1.16e-06,0.332,0.745,108.521,153347.0,4.0,0,0,1,78.0,0,0,2
22,Model Girl,JOHNNY MAESTRO,2/6/1961,90,20,12,6,27305,0.7020000000000001,0.512,10.0,-11.290999999999999,1.0,0.0361,0.777,0.0,0.20199999999999999,0.963,126.541,149067.0,4.0,0,0,0,40.0,0,0,2
23,Tonight My Love Tonight,PAUL ANKA,3/13/1961,56,13,11,31,921214,0.545,0.66,4.0,-7.872000000000001,1.0,0.0304,0.657,0.0,0.634,0.884,125.069,128067.0,4.0,0,0,0,65.0,2,7,20
24,Hide Away,DAYA,10/3/2015,97,97,1,67,38026766,0.885,0.8009999999999999,11.0,-4.716,0.0,0.0882,0.225,1.65e-06,0.0733,0.466,95.01100000000001,192376.0,4.0,0,0,0,83.0,0,0,2
