Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
The Chipmunk Song,THE CHIPMUNKS with THE MUSIC OF DAVID SEVILLE,1958-12-01,62,1,13,,,
Smoke Gets In Your Eyes,THE PLATTERS,1958-11-17,86,1,19,0,2,22
To Know Him Is To Love Him,THE TEDDY BEARS,1958-09-22,88,1,23,0,0,3
Problems,THE EVERLY BROTHERS,1958-11-10,51,2,15,0,12,31
One Night,ELVIS PRESLEY,1958-11-10,30,4,17,7,25,108
My Happiness,CONNIE FRANCIS,1958-12-08,57,2,18,3,15,53
Tom Dooley,THE KINGSTON TRIO,1958-09-29,83,1,21,0,2,17
A Lover's Question,CLYDE McPHATTER,1958-10-20,72,6,23,0,2,16
Gotta Travel On,BILLY GRAMMER,1958-11-24,86,4,20,0,0,3
Whole Lotta Loving,FATS DOMINO,1958-11-17,81,6,16,0,4,45
Lonesome Town,RICKY NELSON,1958-10-20,86,7,18,2,14,44
Beep Beep,THE PLAYMATES,1958-11-03,54,4,15,0,0,8
Bimbombey,JIMMIE RODGERS,1958-11-10,67,11,16,0,0,20
I Got Stung,ELVIS PRESLEY,1958-11-03,65,8,16,7,25,108
Donna,RITCHIE VALENS,1958-11-24,93,2,23,0,0,5
The Little Drummer Boy,THE HARRY SIMEON CHORALE,1958-12-22,88,13,9,,,
Queen Of The Hop,BOBBY DARIN,1958-10-06,95,9,19,0,10,40
16 Candles,THE CRESTS,1958-11-24,91,2,21,0,0,9
It's Only Make Believe,CONWAY TWITTY,1958-09-15,65,1,21,0,3,19
Lonely Teardrops,JACKIE WILSON,1958-11-24,88,7,21,0,6,53
The Diary,NEIL SEDAKA,1958-12-08,83,14,15,3,9,30
Manhattan Spiritual,REG OWEN AND HIS ORCHESTRA,1958-12-08,69,10,16,,,
Goodbye Baby,JACK SCOTT,1958-12-15,81,8,16,0,4,19
Love Is All We Need,TOMMY EDWARDS,1958-10-27,88,15,16,0,0,14
I'll Wait For You,FRANKIE AVALON,1958-10-27,69,15,16,2,6,22
Cannonball,DUANE EDDY,1958-11-03,88,15,12,0,3,27
Lucky Ladybug,BILLY AND LILLIE,1958-12-22,77,14,13,,,
Philadelphia U.S.A.,THE NU TORNADOS,1958-11-17,79,26,12,0,0,0
The Teen Commandments,PAUL ANKA - GEORGE HAMILTON IV - JOHNNY NASH,1958-12-01,87,29,8,,,
That Old Black Magic,LOUIS PRIMA &amp; KEELY SMITH,1958-11-03,100,18,13,,,
Love You Most Of All,SAM COOKE,1958-11-17,74,26,16,0,4,34
Poor Boy,THE ROYALTONES,1958-10-20,51,17,17,0,0,2
The All American Boy,BILL PARSONS (BOBBY BARE),1958-12-22,56,2,16,,,
I Got A Feeling,RICKY NELSON,1958-10-13,70,10,17,2,14,44
C'mon Everybody,EDDIE COCHRAN,1958-11-24,94,35,12,0,0,4
Stagger Lee,LLOYD PRICE,1958-12-08,94,1,21,0,3,15
(All Of A Sudden) My Heart Sings,PAUL ANKA,1958-12-22,39,15,17,2,10,48
I Cried A Tear,LaVERN BAKER,1958-12-08,93,5,21,0,0,13
The World Outside,THE FOUR COINS,1958-11-10,81,21,11,0,0,3
Don't Pity Me,DION AND THE BELMONTS,1958-12-22,63,40,12,,,
Peek-A-Boo,THE CADILLACS,1958-12-08,61,28,10,0,0,0
Topsy II,COZY COLE,1958-08-25,82,3,21,0,0,3
It's All In The Game,TOMMY EDWARDS,1958-08-18,96,1,22,0,0,14
Turvy II,COZY COLE,1958-12-01,66,36,8,0,0,3
Jingle Bell Rock,BOBBY HELMS,1958-12-22,57,35,4,0,0,3
The Wedding,JUNE VALLI,1958-11-24,99,43,13,0,0,3
Donde esta Santa Claus (Where Is Santa Claus),AUGIE RIOS,1958-12-15,66,47,4,0,0,0
The Hawaiian Wedding Song (Ke Kali Nei Au),ANDY WILLIAMS,1958-12-29,72,11,20,0,4,40
The End,EARL GRANT,1958-09-15,87,7,19,0,0,6
Rocka-Conga,THE APPLEJACKS,1958-12-22,64,38,10,0,0,3
It's Just About Time,JOHNNY CASH AND THE TENNESSEE TWO,1958-12-15,78,47,7,,,
Big Bopper's Wedding,THE BIG BOPPER,1958-12-08,64,38,7,,,
Green Chri$tma$,STAN FREEBERG,1958-12-29,44,44,2,,,
Nobody But You,DEE CLARK,1958-12-01,70,21,17,0,0,10
Chantilly Lace,THE BIG BOPPER,1958-08-04,31,6,25,,,
Pledging My Love,ROY HAMILTON,1958-11-17,71,45,12,0,0,5
Try Me,JAMES BROWN,1958-12-15,80,48,13,0,7,91
Teasin',THE QUAKER CITY BOYS,1958-12-22,81,39,9,,,
Blue Hawaii,BILLY VAUGHN AND HIS ORCHESTRA,1958-12-29,73,37,10,0,0,17
Red River Rose,THE AMES BROTHERS,1958-12-29,100,37,10,0,0,7
"Wiggle, Wiggle",THE ACCENTS,1958-12-22,96,51,7,0,0,0
Hideaway,THE FOUR ESQUIRES,1958-09-22,81,21,17,0,0,0
Walking Along,THE DIAMONDS,1958-10-27,82,29,12,0,0,5
Need You,DONNIE OWENS,1958-10-06,92,25,15,0,0,0
A Letter To An Angel,JIMMY CLANTON,1958-10-20,76,25,12,0,3,12
The Mocking Bird,THE FOUR LADS,1958-11-03,86,32,10,0,0,5
Dreamy Eyes,JOHNNY TILLOTSON,1958-12-15,97,63,7,0,4,25
Tea For Two Cha Cha,THE TOMMY DORSEY ORCHESTRA starring WARREN COVINGTON,1958-09-01,74,7,20,,,
"The Bluebird, The Buzzard And The Oriole",BOBBY DAY,1958-12-29,92,54,6,0,0,5
Come Prima,TONY DALLARA,1958-12-08,80,60,7,0,0,0
Don't You Know Yockomo,HUEY (PIANO) SMITH AND THE CLOWNS,1959-01-05,71,56,5,,,
Sweet Little Rock And Roll,CHUCK BERRY,1958-11-10,80,47,9,0,2,21
You Are Beautiful,JOHNNY MATHIS,1959-01-05,73,60,6,0,3,34
Sing Sing Sing,THE BERNIE LOWE ORCHESTRA,1958-11-24,76,46,7,,,
The Fool And The Angel,BOBBY HELMS,1958-12-08,91,75,6,0,0,3
Come Prima (Koma Preema),POLLY BERGEN,1958-12-15,100,67,6,0,0,0
(I Wanna) Dance With The Teacher,THE OLYMPICS,1959-01-05,77,71,3,0,0,14
Peter Gunn,RAY ANTHONY,1959-01-05,78,8,17,0,0,4
I Talk To The Trees,EDMUNDO ROS AND HIS ORCHESTRA,1959-01-05,79,77,4,0,0,0
La Bamba,RITCHIE VALENS,1958-12-29,81,22,15,0,0,5
Yellow Bird,THE MILLS BROTHERS,1959-01-05,81,70,5,0,0,4
Let's Love,JOHNNY MATHIS,1959-01-05,82,44,9,0,3,34
The Girl On Page 44,THE FOUR LADS,1959-01-05,83,52,10,0,0,5
May You Always,THE McGUIRE SISTERS,1959-01-05,84,11,16,0,0,9
Pretty Girls Everywhere,EUGENE CHURCH AND THE FELLOWS,1959-01-05,85,36,14,,,
Little Space Girl,JESSE LEE TURNER,1959-01-05,86,20,12,0,0,0
Pussy Cat,THE AMES BROTHERS,1958-09-29,60,17,15,0,0,7
The One Rose (That's Left In My Heart),TERESA BREWER,1959-01-05,88,75,5,0,0,8
Teach Me Tonight Cha Cha,THE DeCASTRO SISTERS,1959-01-05,89,76,4,0,0,2
Mr. Success,FRANK SINATRA,1958-10-27,89,41,11,2,3,43
I'll Remember Tonight,PAT BOONE,1958-10-27,72,34,11,0,2,33
Cinderella,THE FOUR PREPS,1958-12-01,97,69,6,0,0,10
Funny,JESSIE BELVIN,1958-12-29,93,81,4,,,
Forget Me Not,THE KALIN TWINS,1958-09-29,100,12,15,0,0,2
That's Why I Cry,BUDDY KNOX,1959-01-05,95,88,2,0,0,6
Heartbeat,BUDDY HOLLY,1958-12-29,99,82,4,0,0,4
