Year,Percentage
1958,19.7
1959,19.6
1960,19.6
1961,19.9
1962,20.2
1963,20.8
1964,21.2
1965,21.7
1966,22.1
1967,22.5
1968,23.1
1969,23.5
1970,24
1971,24.7
1972,25.3
1973,25.8
1974,26.2
1975,26.7
1976,26.9
1977,27.3
1978,27.3
1979,27.4
1980,27.4
1981,27.3
1982,27.1
1983,26.8
1984,26.6
1985,26
1986,25.5
1987,25
1988,24.5
1989,23.9
1990,23.5
1991,23
1992,22.6
1993,22.2
1994,21.8
1995,21.4
1996,21.2
1997,21
1998,20.9
1999,21
2000,20.9
2001,20.9
2002,20.8
2003,20.9
2004,20.9
2005,21
2006,21
2007,20.9
2008,21
2009,21
2010,20.9
2011,20.9
2012,20.9
2013,20.9
