Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100,Entry_Year,days_before_charting,Age_Percentage_15_30
The Call,ANNE MURRAY,0.553745965,0.579153131,110,91,6,0.5770000000000001,0.789,7.0,-6.17,0.0435,0.152,0.0,0.209,0.778,127.45700000000001,154733.0,4.0,0,0,0,4,12,56.0,1,3,14,1976,14,26.9
Bomdigi,ERICK SERMON,0.560457479,0.699742393,93,84,6,0.769,0.644,7.0,-9.812000000000001,0.361,0.00391,2.71e-05,0.0718,0.7559999999999999,90.814,214133.0,4.0,0,0,0,0,0,53.0,0,0,2,1995,11,21.4
This Time Make It Funky,TRACIE SPENCER,0.44868473299999995,0.5979915720000001,89,54,7,0.7759999999999999,0.83,0.0,-9.532,0.0812,0.0269,0.00267,0.0416,0.792,113.624,326400.0,4.0,0,0,0,0,0,37.0,0,1,6,1991,17,23.0
Take This Heart Of Mine,MARVIN GAYE,0.520402509,0.645584087,117,44,9,0.5479999999999999,0.61,0.0,-10.647,0.0342,0.159,0.0,0.305,0.9309999999999999,93.15799999999999,166893.0,4.0,0,0,1,2,12,78.0,2,9,17,1966,9,22.1
In The Middle Of A Heartache,WANDA JACKSON,0.521321971,0.6007863729999999,118,27,11,0.43799999999999994,0.293,9.0,-9.362,0.0298,0.8390000000000001,0.0,0.0714,0.41700000000000004,109.016,155547.0,4.0,0,0,0,0,2,57.77835159,0,0,3,1961,9,19.9
He's A Rebel,THE CRYSTALS (THE BLOSSOMS),0.645328366,0.702216526,98,1,18,0.7120000000000001,0.757,6.0,-6.449,0.0572,0.63,1.63e-06,0.529,0.866,117.367,150605.0,4.0,0,0,0,0,0,57.77835159,1,0,1,1962,8,20.2
(Come 'Round Here) I'm The One You Need,THE MIRACLES,0.646320783,0.628322164,90,17,9,0.542,0.7290000000000001,7.0,-6.247999999999999,0.0339,0.106,0.0,0.38799999999999996,0.805,113.9,152453.0,4.0,0,0,0,0,0,51.0,0,1,8,1966,17,22.1
Forever Came Today,DIANA ROSS AND THE SUPREMES,0.559637582,0.588692902,70,28,9,0.319,0.523,6.0,-9.681000000000001,0.0405,0.27699999999999997,0.0,0.0678,0.772,203.567,193440.0,4.0,0,0,1,0,12,51.0,1,2,3,1968,16,23.1
"Sweet, Sweet Smile",THE CARPENTERS,0.6481145739999999,0.722517723,89,44,13,0.48700000000000004,0.48700000000000004,2.0,-13.049000000000001,0.0459,0.17800000000000002,0.00244,0.0875,0.898,170.86,181760.0,4.0,0,0,0,0,0,70.0,0,3,7,1978,4,27.3
"Too Hurt To Cry, Too Much In Love To Say Goodbye",THE DARNELLS (THE MARVELETTES),0.190921814,0.423196991,126,117,2,0.5379999999999999,0.86,0.0,-2.443,0.0361,0.268,0.0169,0.152,0.701,127.758,135613.0,4.0,0,0,0,0,0,57.77835159,0,0,0,1963,19,20.8
Night And Day,BETTE MIDLER,0.595637317,0.654231353,92,62,7,0.578,0.505,4.0,-13.012,0.0253,0.18100000000000002,7e-05,0.63,0.316,133.90200000000002,330360.0,4.0,0,0,0,3,13,59.0,1,3,6,1991,11,23.0
Before My Heart Finds Out,GENE COTTON,0.619096605,0.655668169,86,23,14,0.613,0.5379999999999999,6.0,-6.332999999999999,0.0304,0.47100000000000003,1.35e-06,0.138,0.484,122.652,151493.0,4.0,0,0,0,0,0,57.77835159,0,0,1,1978,4,27.3
In My Lonely Room,MARTHA AND THE VANDELLAS,0.595283784,0.575172283,83,44,6,0.29,0.88,0.0,-3.13,0.0657,0.639,8.070000000000001e-05,0.179,0.5820000000000001,160.387,150267.0,4.0,0,0,0,0,0,62.0,0,4,8,1964,19,21.2
MVP,MARY J. BLIGE,0.646346031,0.7883745459999999,86,75,8,0.7490000000000001,0.7390000000000001,1.0,-4.409,0.10400000000000001,0.14,0.0,0.129,0.452,100.007,201213.0,4.0,0,0,0,0,0,75.0,1,1,17,2005,12,21.0
Sartorial Eloquence,ELTON JOHN,0.5277488220000001,0.547484073,82,39,12,0.557,0.31,1.0,-15.130999999999998,0.0298,0.386,4.18e-06,0.214,0.45399999999999996,142.202,282267.0,4.0,0,0,0,5,34,81.0,4,15,31,1980,5,27.4
Bandit Of My Dreams,EDDIE HODGES,0.376841925,0.47633862299999996,116,65,8,0.752,0.47100000000000003,8.0,-11.308,0.0758,0.402,0.0,0.155,0.94,110.226,123333.0,4.0,0,0,0,0,0,31.0,0,0,3,1962,13,20.2
Father,LL COOL J,0.609925917,0.770137293,23,18,16,0.757,0.525,7.0,-10.882,0.27699999999999997,0.0473,0.0805,0.14300000000000002,0.5670000000000001,98.80799999999999,284630.0,4.0,0,0,0,2,9,67.0,0,2,10,1998,18,20.9
From Graceland To The Promised Land,MERLE HAGGARD,0.5246417529999999,0.6860559709999999,90,58,9,0.584,0.361,10.0,-10.272,0.044000000000000004,0.591,0.00042199999999999996,0.162,0.51,86.65100000000001,155253.0,4.0,0,0,1,2,13,64.0,0,0,4,1977,19,27.3
Somebody Like Me,EDDY ARNOLD,0.552448068,0.514048005,88,53,6,0.493,0.336,6.0,-13.743,0.0449,0.818,4.53e-06,0.198,0.65,119.24600000000001,147213.0,4.0,0,0,1,0,6,44.0,0,0,10,1966,15,22.1
You've Been In Love Too Long,MARTHA AND THE VANDELLAS,0.520363432,0.566434117,75,36,7,0.6559999999999999,0.643,8.0,-2.449,0.0326,0.0848,3.84e-05,0.155,0.815,119.12799999999999,177840.0,4.0,0,0,0,0,0,62.0,0,4,8,1965,19,21.7
I Won't Mention It Again,RAY PRICE,0.6085804770000001,0.681830816,72,42,14,0.35200000000000004,0.183,5.0,-16.143,0.0278,0.624,0.000254,0.136,0.51,80.517,220240.0,4.0,0,0,0,2,7,48.0,0,0,5,1971,20,24.7
Straight Up,CHANTE MOORE,0.639941027,0.731653007,98,83,9,0.868,0.862,1.0,-3.588,0.133,0.248,0.000202,0.0478,0.9440000000000001,99.999,220200.0,4.0,0,0,0,0,0,50.0,0,1,2,2000,18,20.9
"To Sir, With Love",HERBIE MANN,0.143630712,0.525228982,93,93,2,0.49200000000000005,0.46799999999999997,9.0,-10.413,0.0318,0.419,0.309,0.401,0.6709999999999999,111.184,153907.0,4.0,0,0,0,0,2,57.77835159,0,0,3,1967,21,22.5
Does It Make You Remember,KIM CARNES,0.426319868,0.72067257,78,36,13,0.455,0.672,5.0,-5.513999999999999,0.0257,0.293,0.0,0.142,0.17300000000000001,78.47,309520.0,4.0,0,0,0,2,8,63.0,1,1,9,1982,6,27.1
(Loneliness Made Me Realize) It's You That I Need,THE TEMPTATIONS,0.556497429,0.7295536859999999,101,14,10,0.563,0.35200000000000004,0.0,-11.895999999999999,0.0323,0.5770000000000001,0.0,0.24600000000000002,0.965,116.74600000000001,158733.0,4.0,0,0,0,0,0,73.0,1,4,12,1967,11,22.5
Dawn Of Correction,SPOKESMEN,0.444078207,0.396823041,112,36,8,0.41,0.639,7.0,-10.755,0.039,0.239,0.0,0.573,0.606,116.102,203000.0,4.0,0,0,0,0,0,3.0,0,0,1,1965,11,21.7
Talk Show Shhh!,SHAE JONES,0.594271381,0.609513615,95,88,9,0.889,0.258,10.0,-7.981,0.0603,0.0318,0.0,0.0658,0.455,121.921,252819.0,4.0,0,0,0,0,0,14.0,0,0,1,1999,2,21.0
Bite Your Lip (Get Up And Dance),ELTON JOHN,0.49825679799999995,0.40173158600000003,56,28,6,0.568,0.9490000000000001,5.0,-6.858,0.0842,0.00915,0.00101,0.193,0.555,142.45,402867.0,4.0,0,0,0,5,34,81.0,4,15,31,1977,12,27.3
(I'm So) Afraid Of Losing You Again,CHARLEY PRIDE,0.615686165,0.55559716,116,74,7,0.525,0.354,4.0,-12.332,0.0344,0.466,3.86e-05,0.24600000000000002,0.495,109.49799999999999,173320.0,4.0,0,0,1,3,13,55.0,0,0,11,1969,1,23.5
