Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100,Entry_Year,days_before_charting,Age_Percentage_15_30
Pain In My Heart,OTIS REDDING,0.801380122,0.732894244,99,78,3,0.453,0.276,10,-11.535,0.0393,0.733,0.000228,0.126,0.597,163.323,146747,3,1,0,1,2,5,74,0,0,12,1963,0,20.8
Live Like We're Dying,KRIS ALLEN,0.819880535,0.753437285,89,89,1,0.578,0.9,0,-2.501,0.0443,0.0267,0,0.287,0.934,92.011,212747,4,0,0,0,0,0,54,0,0,1,2009,0,21
Scotty Doesn't Know,LUSTRA,0.862293167,0.746101575,75,75,2,0.317,0.887,0,-4.525,0.0472,0.000449,9.23E-06,0.363,0.544,174.009,175200,4,0,0,0,0,0,52,0,0,1,2006,0,21
Only,NINE INCH NAILS,0.816239333,0.788365811,94,94,1,0.717,0.797,9,-5.678,0.0294,0.000743,0.00283,0.106,0.961,112.129,263093,4,0,0,0,2,10,71,0,0,7,2005,0,21
Ain't No Rest For The Wicked,CAGE THE ELEPHANT,0.903338303,0.798207948,83,83,3,0.634,0.849,0,-7.075,0.105,0.0438,0,0.363,0.919,156.004,175493,4,0,0,0,1,2,79,0,0,2,2009,0,21
Celebrity Skin,HOLE,0.840939552,0.709135259,85,85,9,0.441,0.913,9,-6.065,0.0477,1.39E-05,9.24E-05,0.366,0.768,134.198,162493,4,0,0,0,0,3,61,0,0,2,1998,0,20.9
"Women Lie, Men Lie",YO GOTTI featuring LIL WAYNE,0.800052482,0.845922452,93,81,7,0.647,0.767,6,-6.497,0.203,0.00417,0,0.103,0.537,157.925,216773,4,0,0,0,0,0,86,0,0,1,2010,0,20.9
Till I'm Gone,TINIE TEMPAH featuring WIZ KHALIFA,0.839887346,0.834283501,96,90,4,0.723,0.891,5,-4.31,0.131,0.122,0,0.379,0.884,163.995,213766,4,0,0,0,0,0,75,0,0,1,2011,95,20.9
Vivir Mi Vida,MARC ANTHONY,0.960781163,0.842156498,100,100,1,0.655,0.877,0,-3.23,0.0344,0.344,0,0.349,0.893,105.017,252347,4,0,0,0,2,8,82,0,2,2,2013,0,20.9
Freak On A Leash (Unplugged),KORN featuring AMY LEE,0.801758199,0.816296108,89,89,1,0.422,0.786,2,-6.952,0.368,0.23,4.98E-06,0.987,0.196,107.973,248973,4,0,0,0,2,8,78,0,0,1,2007,0,20.9
Beautiful Pain,EMINEM featuring SIA,0.8548598,0.841256971,99,99,1,0.691,0.815,6,-4.532,0.443,0.0561,0,0.133,0.415,165.342,265025,4,0,0,0,15,43,95,0,0,2,2013,0,20.9
How To Hate,LIL WAYNE featuring T-PAIN,0.813545087,0.835511041,84,84,1,0.401,0.753,7,-5.851,0.105,0.27,0,0.61,0.277,145.373,278520,4,0,0,0,5,24,93,0,1,1,2011,0,20.9
I'm Gonna Love You Through It,MARTINA McBRIDE,0.812095681,0.757120634,77,77,1,0.427,0.684,5,-4.973,0.0345,0.311,0,0.112,0.277,142.621,225560,4,0,0,0,0,14,63,0,0,17,2011,0,20.9
Hate To Say I Told You So,THE HIVES,0.813658778,0.768373428,91,86,11,0.451,0.929,5,-5.021,0.0549,0.00109,0.00785,0.442,0.378,135.767,199760,4,0,0,0,0,0,63,0,0,1,2002,0,20.8
If I Lose Myself,ONEREPUBLIC,0.884612834,0.864134475,89,76,4,0.484,0.715,2,-6.005,0.0478,0.0923,0,0.112,0.313,140.073,241640,4,0,0,0,0,1,88,0,2,9,2013,95,20.9
Twisted Transistor,KORN,0.86316829,0.830042693,97,97,1,0.58,0.983,5,-3.291,0.0636,0.00043,0.00694,0.0801,0.416,110.053,188933,4,0,0,0,2,8,78,0,0,4,2005,18,21
Last Train Home,LOSTPROPHETS,0.817311114,0.754052628,75,75,6,0.483,0.787,4,-5.01,0.0301,0.000703,3.35E-06,0.257,0.185,102.374,275173,4,0,0,0,0,0,53,0,0,1,2004,96,20.9
Don't Think They Know,CHRIS BROWN featuring AALIYAH,0.885548199,0.851002561,87,81,2,0.39,0.615,5,-6.483,0.111,0.0232,0,0.324,0.566,87.952,237973,5,0,0,0,1,16,96,0,0,1,2013,26,20.9
Everybody's Got Somebody But Me,HUNTER HAYES featuring JASON MRAZ,0.82878001,0.83369169,91,77,9,0.638,0.53,5,-6.928,0.063,0.337,0,0.179,0.882,151.618,159347,4,0,0,0,0,5,71,0,0,1,2013,0,20.9
Same Damn Time,FUTURE,0.826732902,0.855475303,100,100,1,0.718,0.862,11,-4.915,0.0445,0.0135,0,0.24,0.305,138.97,273000,4,0,0,0,0,1,96,0,1,10,2012,42,20.9
I'm A Ramblin' Man,WAYLON JENNINGS,0.801577035,0.768590068,91,75,7,0.772,0.561,7,-11.654,0.0319,0.333,0.00344,0.0931,0.768,109.438,166400,4,1,0,0,2,13,69,0,0,3,1974,38,26.2
Heart Skips A Beat,OLLY MURS featuring CHIDDY BANG,0.82194138,0.822981185,96,96,2,0.771,0.913,9,-2.884,0.0505,0.128,0,0.0732,0.924,110.584,202093,4,0,0,0,0,0,76,0,0,1,2012,0,20.9
Two Is Better Than One,BOYS LIKE GIRLS featuring TAYLOR SWIFT,0.874245748,0.781014713,92,92,1,0.521,0.702,0,-5.189,0.0331,0.189,0,0.0962,0.25,127.976,242840,4,0,0,0,0,0,67,0,0,1,2009,0,21
Insatiable,DARREN HAYES,0.825124225,0.712102877,81,77,7,0.67,0.847,0,-5.449,0.0545,0.0974,0,0.0842,0.852,143.872,310227,4,0,0,0,0,0,43,0,0,1,2002,43,20.8
Kings And Queens,30 SECONDS TO MARS,0.890485321,0.823425006,88,88,1,0.293,0.816,8,-5.432,0.0844,0.0401,2.95E-05,0.13,0.148,164.982,347667,4,0,0,0,0,0,77,0,0,2,2009,0,21
Video Games,LANA DEL REY,0.919107735,0.879791523,91,91,1,0.273,0.259,6,-9.651,0.0306,0.796,0,0.0864,0.16,91.277,281960,3,2,0,0,0,3,88,0,1,6,2012,0,20.9
Gold Lion,YEAH YEAH YEAHS,0.810764373,0.741088366,97,97,1,0.518,0.846,9,-3.313,0.07,0.0216,2.16E-05,0.0871,0.278,158.74,187133,4,3,0,0,0,3,57.77835159,0,0,1,2006,0,21
Hey Stoopid,ALICE COOPER,0.802198641,0.64512752,99,78,5,0.47,0.939,7,-7.782,0.0599,0.00511,0.00102,0.51,0.3,129.896,273933,4,0,0,0,0,2,69,0,2,17,1991,0,23
Wavin' Flag,K'NAAN,0.874294699,0.767548217,99,99,1,0.632,0.71,0,-6.334,0.0668,0.131,0,0.269,0.668,75.964,220520,4,0,0,0,0,0,60,0,0,1,2009,0,21
Mama's Song,CARRIE UNDERWOOD,0.863225261,0.783571402,77,77,1,0.354,0.664,7,-5.413,0.0352,0.443,0,0.0835,0.235,79.742,240507,3,0,0,0,7,14,76,1,1,19,2009,0,21
Through The Fire And Flames,DRAGONFORCE,0.901308364,0.766127826,86,86,5,0.113,0.951,0,-4.743,0.129,0.00176,0.00718,0.334,0.139,200.024,441560,4,0,0,0,0,1,66,0,0,1,2008,0,21
One Day,MATISYAHU,0.880228527,0.810576091,90,85,6,0.346,0.61,0,-5.818,0.15,0.198,0,0.117,0.235,68.552,207573,4,0,0,0,0,1,67,0,0,2,2010,0,20.9
Oh Love,GREEN DAY,0.869834656,0.850183721,100,97,3,0.427,0.773,8,-4.222,0.115,0.00605,4.02E-06,0.0396,0.695,171.806,303293,4,0,0,0,4,17,85,0,2,4,2012,0,20.9
Tonight I'm Getting Over You,CARLY RAE JEPSEN,0.859769297,0.839233679,90,90,1,0.709,0.768,10,-5.238,0.0421,0.0067,0.000778,0.345,0.141,125.964,219213,4,0,0,0,0,2,77,1,0,2,2013,0,20.9
For Your Entertainment,ADAM LAMBERT,0.857694339,0.770358978,84,84,1,0.654,0.872,1,-3.824,0.11,0.0411,0,0.0808,0.612,130.023,215160,4,0,0,0,0,1,69,0,1,7,2009,0,21
