Song,Artist,Endurance_Score,Predicted_Endurance_Score
Midnight Train To Georgia,GLADYS KNIGHT AND THE PIPS,0.5622745144459709,0.5220949767950224
Ultralight Beam,KANYE WEST,0.7110448422373309,0.5041126736668208
All I Do Is Win,"DJ KHALED featuring T-PAIN, LUDACRIS, SNOOP DOGG &amp; RICK ROSS",0.6926337295597942,0.6565029351126035
Wear This Ring (With Love),THE DETROIT EMERALDS,0.10001179903351247,0.17603725210497032
Baby Girl,SUGARLAND,0.4526800359795441,0.5302278466086142
What'd I Say,RAY CHARLES,0.5806646399671237,0.37110477242054346
Married,FRANKIE AVALON,1.3792132356679047e-05,0.08251155548212713
United Together,ARETHA FRANKLIN,0.15000875786565301,0.29978380588291276
Summer's Love,RICHARD BARRETT &amp; THE CHANTELS,0.15001221863326916,0.29340212551778266
Banana Juice,THE MAR-KEYS,0.12000028632333727,0.0439624568960752
Lighters,BAD MEETS EVIL featuring BRUNO MARS,0.6420817670133596,0.7163173289315512
Angela Jones,JOHNNY FERGUSON,0.11000286044224368,0.24424913477689741
Bonaparte's Retreat,BILLY GRAMMER,0.01000747952847857,0.2174610129880925
Let's Put The X In Sex,KISS,0.2812470007016953,0.170112057343242
What Mattered Most,TY HERNDON,0.4008062781444109,0.18516230679822138
Sex With Me,RIHANNA,0.6817844805438898,0.4027601703315663
Ritual,DAN REED NETWORK,0.09004526630080098,0.28165279217084116
Real Good Man,TIM McGRAW,0.5605778698076859,0.5849526019162483
Johnny Come Home,FINE YOUNG CANNIBALS,0.4506442393711935,0.23675277455220822
Let The Music Do The Talking,THE JOE PERRY PROJECT,0.14004616620737448,0.12764576606139738
Rumors,THE SYNDICATE OF SOUND,0.39000423018889946,0.26941396696206626
Roller-Skatin' Mate,PEACHES &amp; HERB,0.06000901302138086,0.27126062077538515
The Trouble With Girls,SCOTTY McCREERY,0.5461182163826315,0.3849121905760966
The Prince,JACKIE DeSHANNON,7.015038060566979e-07,0.13878562914445527
Let Them Love,THE DREAMLOVERS,0.010000209799878337,0.13130433351291654
Forget It,THE SANDPEBBLES,0.3700010838885067,0.19878416640356872
Hard,RIHANNA featuring JEEZY,0.5309745221258325,0.6467063444378071
If You Gotta Make A Fool Of Somebody,JAMES RAY,0.1700306631128171,0.25656930758552765
Holdin' On,TANE CAIN,0.07002343083186696,0.33032234362518864
Just Don't Want To Be Lonely,RONNIE DYSON,0.20006439181587413,0.20403806234500316
Night Owl,THE DUKAYS,0.15000610861885227,0.24133028028699638
(I Know) I'm Losing You,RARE EARTH,0.27045867207658714,0.2834909267348281
Sinner Man,TRINI LOPEZ,0.09000228640000449,0.20965452832471046
Zip Code,THE FIVE AMERICANS,4.496043955927045e-07,0.23765445946510694
My Cherie Amour,STEVIE WONDER,0.5214227539208399,0.5374755511243293
Look What You've Done For Me,AL GREEN,0.010345338973129623,0.3244803279551485
Dessert,DAWIN,0.6635585521622103,0.459151689422006
Heavy Heart,MEEK MILL,0.5812819214495155,0.3961111972369804
The Big Draft (Medley),THE FOUR PREPS,0.030004911689612893,0.23807224574437036
Shower The People,JAMES TAYLOR,0.5403457301964061,0.36870585583859944
Bend It,"DAVE DEE, DOZY, BEAKY, MICK AND TICH",0.3001212257190579,0.17098464633403412
If I Could Change,"MASTER P featuring STEADY MOBB'N, MIA X, MO B. DICK &amp; O'DELL",0.23002170707699074,0.4003156597104168
The Hustle,VAN McCOY,0.5436452880047147,0.3758443738528876
Jersey,FUTURE,0.6302301467450296,0.38963555578865106
Why Is The Wine Sweeter,EDDIE FLOYD,0.12000126275336973,0.12830568304519627
"Saginaw, Michigan",LEFTY FRIZZELL,0.290220293593759,0.15624462698110414
Quarter To Three,GARY U.S. BONDS,0.23014456165253205,0.2365168177828624
Close My Eyes Forever,LITA FORD &amp; OZZY OSBOURNE,0.5421101271701242,0.39768775404953255
I'm Gonna Getcha Good!,SHANIA TWAIN,0.4362119564568744,0.6027248163631048
Mmmbop,HANSON,0.595484290254772,0.504800586721999
Lover,MICHAEL STANLEY BAND,0.2100601944227428,0.2975459534913539
The Wonders You Perform,TAMMY WYNETTE,0.3100335372781126,0.16878460340007173
Stay And Love Me All Summer,BRIAN HYLAND,0.13000082943056115,0.16697144105399692
He's A Good Guy (Yes He Is),THE MARVELETTES,0.06000206194669784,0.22191645018307926
Run Samson Run,NEIL SEDAKA,0.28004317062795864,0.260064636260213
P.A.S.S.I.O.N.,RHYTHM SYNDICATE,3.008092978438349e-05,0.3454742644820353
You Must Believe Me,THE IMPRESSIONS,0.1400127591819579,0.2455017048544763
Down The Aisle (Wedding Song),PATTI LaBELLE AND HER BLUE BELLES,0.07004648811760908,0.22390870780990674
Who Says,DEVICE,0.20005554416889848,0.2011813670032393
I've Fallen In Love With You,CARLA THOMAS,0.11001086354004168,0.10213527148407425
Sugar Daddy,THOMPSON TWINS,0.4100136058244824,0.2601887305042744
Hallelujah (Vancouver Winter 2010 Version),K.D. LANG,0.2104957126870362,0.4074607956014905
The Village Of St. Bernadette,ANDY WILLIAMS,0.0800238004238921,0.24742649143053383
Without Me,EMINEM,0.8664212199708902,0.7554673551334425
Just Fine,MARY J. BLIGE,0.5376359275426404,0.610930411635136
