Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Touch My Body,MARIAH CAREY,2008-03-01,57,1,20
Bleeding Love,LEONA LEWIS,2008-03-01,85,1,39
4 Minutes,MADONNA featuring JUSTIN TIMBERLAKE,2008-04-05,68,3,20
Lollipop,LIL WAYNE featuring STATIC MAJOR,2008-03-29,85,1,28
Love In This Club,USHER featuring YOUNG JEEZY,2008-03-01,83,1,25
Sexy Can I,RAY J &amp; YUNG BERG,2008-02-16,77,3,26
No Air,JORDIN SPARKS duet with CHRIS BROWN,2008-01-19,95,3,35
With You,CHRIS BROWN,2007-12-15,72,2,29
Love Song,SARA BAREILLES,2007-11-17,100,4,41
Low,FLO RIDA featuring T-PAIN,2007-11-10,91,1,40
Don't Stop The Music,RIHANNA,2007-12-08,94,3,30
See You Again,MILEY CYRUS,2007-12-22,94,10,27
Stop And Stare,ONEREPUBLIC,2007-12-29,98,12,31
Apologize,TIMBALAND featuring ONEREPUBLIC,2007-09-01,91,2,45
You're Gonna Miss This,TRACE ADKINS,2008-02-16,95,12,20
Superstar,LUPE FIASCO featuring MATTHEW SANTOS,2007-12-29,76,10,20
Independent,"WEBBIE, LIL' PHAT &amp; LIL' BOOSIE",2007-12-08,99,9,25
No One,ALICIA KEYS,2007-09-22,71,1,39
Beat It,FALL OUT BOY featuring JOHN MAYER,2008-04-12,22,19,7
Sorry,BUCKCHERRY,2007-12-22,86,9,24
Damaged,DANITY KANE,2008-03-29,64,10,22
Elevator,FLO RIDA featuring TIMBALAND,2008-03-01,100,16,13
The Boss,RICK ROSS featuring T-PAIN,2008-03-01,84,17,20
She Got It,2 PISTOLS featuring T-PAIN &amp; TAY DIZM,2008-03-01,98,24,20
Pocketful Of Sunshine,NATASHA BEDINGFIELD,2008-03-15,94,5,33
Teardrops On My Guitar,TAYLOR SWIFT,2007-12-15,44,13,23
Feels Like Tonight,DAUGHTRY,2008-02-09,89,24,20
Our Song,TAYLOR SWIFT,2007-10-13,86,16,36
Bubbly,COLBIE CAILLAT,2007-08-18,97,5,42
Tattoo,JORDIN SPARKS,2007-10-13,58,8,31
Take You There,SEAN KINGSTON,2007-11-17,81,7,25
When You Look Me In The Eyes,JONAS BROTHERS,2008-02-09,85,25,17
New Soul,YAEL NAIM,2008-02-16,9,7,16
Like You'll Never See Me Again,ALICIA KEYS,2007-11-24,93,12,24
I Saw God Today,GEORGE STRAIT,2008-03-08,54,33,20
Paralyzer,FINGER ELEVEN,2007-06-23,97,6,50
Nude,RADIOHEAD,2008-04-19,37,37,1
Whatever It Takes,LIFEHOUSE,2008-02-02,97,33,20
Shawty Get Loose,LIL MAMA featuring CHRIS BROWN,2008-03-08,92,10,12
Crying Out For Me,MARIO,2007-12-15,97,33,20
What You Got,COLBY O'DONIS featuring AKON,2008-03-15,86,14,25
Just Get Started Lovin' You,JAMES OTTO,2008-03-08,93,27,20
Shadow Of The Day,LINKIN PARK,2007-11-24,89,15,22
Picture To Burn,TAYLOR SWIFT,2008-03-01,91,28,20
Suffocate,J. HOLLIDAY,2007-11-24,96,18,24
Realize,COLBIE CAILLAT,2008-02-23,86,20,26
Killa,CHERISH featuring YUNG JOC,2008-02-23,97,39,15
I Remember,KEYSHIA COLE,2007-12-29,80,24,20
Bust It Baby (Part 2),PLIES featuring NE-YO,2008-04-12,55,7,22
Falsetto,THE-DREAM,2008-01-26,84,30,19
Sensual Seduction,SNOOP DOGG,2007-12-15,76,7,20
All-American Girl,CARRIE UNDERWOOD,2008-01-19,84,27,20
Say,JOHN MAYER,2008-02-09,95,12,26
Dey Know,SHAWTY LO,2008-01-26,94,31,17
What Kinda Gone,CHRIS CAGLE,2008-02-02,94,54,20
I Won't Tell,FAT JOE featuring J. HOLIDAY,2008-01-26,81,37,16
I'm Still A Guy,BRAD PAISLEY,2008-03-29,86,33,20
Nine In The Afternoon,PANIC AT THE DISCO,2008-02-16,79,51,19
The Way That I Love You,ASHANTI,2008-03-22,88,37,18
Break The Ice,BRITNEY SPEARS,2008-03-15,100,43,17
Laughed Until We Cried,JASON ALDEAN,2008-02-02,96,61,16
