Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Do That To Me One More Time,CAPTAIN &amp; TENNILLE,1979-10-20,86,1,27
Crazy Little Thing Called Love,QUEEN,1979-12-22,58,1,22
Coward Of The County,KENNY ROGERS,1979-11-17,63,3,19
Cruisin',SMOKEY ROBINSON,1979-10-06,89,4,25
Rock With You,MICHAEL JACKSON,1979-11-03,76,1,24
Yes I'm Ready,TERI DE SARIO &amp; KC,1979-11-17,90,2,23
Sara,FLEETWOOD MAC,1979-12-15,45,7,14
Longer,DAN FOGELBERG,1979-12-15,87,2,22
On The Radio,DONNA SUMMER,1980-01-12,86,5,17
Desire,ANDY GIBB,1980-01-26,44,4,15
This Is It,KENNY LOGGINS,1979-10-20,82,11,23
Don't Do Me Like That,TOM PETTY AND THE HEARTBREAKERS,1979-11-17,71,10,18
Daydream Believer,ANNE MURRAY,1979-12-22,67,12,17
Romeo's Tune,STEVE FORBERT,1979-11-24,109,11,20
The Long Run,EAGLES,1979-12-08,33,8,15
An American Dream,DIRT BAND,1979-12-08,90,13,19
Working My Way Back To You,SPINNERS,1979-12-15,82,2,25
Another Brick In The Wall,PINK FLOYD,1980-01-19,77,1,25
September Morn,NEIL DIAMOND,1979-12-22,66,17,16
Second Time Around,SHALAMAR,1979-12-08,96,8,23
Fool In The Rain,LED ZEPPELIN,1979-12-22,64,21,13
Too Hot,KOOL AND THE GANG,1980-01-19,76,5,18
How Do I Make You,LINDA RONSTADT,1980-02-02,68,10,16
Escape,RUPERT HOLMES,1979-10-20,85,1,21
When I Wanted You,BARRY MANILOW,1979-12-15,88,20,16
Refugee,TOM PETTY AND THE HEARTBREAKERS,1980-01-26,63,15,14
Wonderland,COMMODORES,1979-12-15,78,25,15
Him,RUPERT HOLMES,1980-01-19,72,6,17
Deja Vu,DIONNE WARWICK,1979-11-10,83,15,19
Don't Let Go,ISAAC HAYES,1979-10-27,81,18,21
I Wanna Be Your Lover,PRINCE,1979-11-24,85,11,16
We Don't Talk Anymore,CLIFF RICHARD,1979-10-20,79,7,20
99,TOTO,1979-12-22,85,26,17
Heartbreaker,PAT BENATAR,1979-12-15,103,23,19
Why Me,STYX,1979-12-15,75,26,13
Lost Her In The Sun,JOHN STEWART,1979-12-08,82,34,13
Give It All You Got,CHUCK MANGIONE,1980-01-19,89,18,16
Special Lady,RAY GOODMAN &amp; BROWN,1980-01-26,89,5,18
Let Me Go Love,NICOLETTE LARSON with MICHAEL McDONALD,1980-01-05,106,35,12
I Can't Help Myself,BONNIE POINTER,1979-12-22,86,40,13
Looks Like Love Again,DANN ROGERS,1979-12-15,81,41,11
Kiss Me In The Rain,BARBRA STREISAND,1980-01-12,90,37,11
Third Time Lucky,FOGHAT,1979-11-17,73,23,15
Flirtin' With Disaster,MOLLY HATCHETT,1980-01-05,83,42,10
When A Man Loves A Woman,BETTE MIDLER,1980-01-19,80,35,10
I Thank You,ZZ TOP,1980-01-19,81,34,11
Bad Times,TAVARES,1979-12-22,109,47,12
With You I'm Born Again,BILLY PRESTON &amp; SYREETA,1979-12-08,98,4,29
Back On My Feet Again,BABYS,1980-01-19,87,33,12
Do You Love What You Feel,RUFUS &amp; CHAKA KHAN,1979-11-10,102,30,17
Ladies Night,KOOL AND THE GANG,1979-10-06,93,8,24
I Pledge My Love,PEACHES &amp; HERB,1980-01-19,90,19,19
Off The Wall,MICHAEL JACKSON,1980-02-16,53,10,17
Three Times In Love,TOMMY JAMES,1980-01-26,82,19,16
I Wish I Was Eighteen Again,GEORGE BURNS,1980-02-09,65,49,7
Come Back,J. GEILS BAND,1980-02-09,71,32,11
Haven't You Heard,PATRICE RUSHEN,1980-01-26,86,42,9
You Might Need Somebody,TURLEY RICHARDS,1980-01-26,88,54,7
Baby Talks Dirty,KNACK,1980-02-09,73,38,8
Rockin' Into The Night,38 SPECIAL,1980-02-09,70,43,8
Ride Like The Wind,CHRISTOPHER CROSS,1980-02-16,61,2,21
Send One Your Love,STEVIE WONDER,1979-11-03,51,4,18
Us & Love (We Go Together),KENNY NOLAN,1980-02-02,87,44,8
