Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Ain't It Funny,JENNIFER LOPEZ featuring JA RULE,2001-12-29,74,1,27
Always On Time,JA RULE featuring ASHANTI,2001-11-17,84,1,27
In The End,LINKIN PARK,2001-11-03,78,2,38
How You Remind Me,NICKELBACK,2001-09-08,75,1,49
Wherever You Will Go,THE CALLING,2001-11-10,71,5,45
Blurry,PUDDLE OF MUDD,2001-12-22,72,5,38
Can't Get You Out Of My Head,KYLIE MINOGUE,2002-01-26,64,7,20
What's Luv?,FAT JOE featuring ASHANTI,2002-02-16,68,2,28
What About Us?,BRANDY,2002-01-26,42,7,18
Oops (Oh My),TWEET,2002-02-09,54,7,20
Foolish,ASHANTI,2002-02-16,78,1,32
U Don't Have To Call,USHER,2002-02-09,65,3,26
Hey Baby,NO DOUBT featuring BOUNTY KILLER,2001-12-08,62,5,20
Girlfriend,'N SYNC,2002-02-09,70,5,20
U Got It Bad,USHER,2001-09-22,93,1,32
My Sacrifice,CREED,2001-10-27,50,4,29
Can't Fight The Moonlight,LeANN RIMES,2001-12-08,97,11,22
I Love You,FAITH EVANS,2002-01-26,77,14,21
7 Days,CRAIG DAVID,2001-12-08,61,10,20
"Lights, Camera, Action!",MR. CHEEKS,2001-10-13,99,14,30
Escape,ENRIQUE IGLESIAS,2002-02-23,70,12,20
The Whole World,OUTKAST featuring KILLER MIKE,2001-12-22,68,19,20
Hands Clean,ALANIS MORISSETTE,2002-02-02,65,23,20
No More Drama,MARY J BLIGE,2001-12-15,74,15,20
Family Affair,MARY J. BLIGE,2001-07-28,76,1,41
Don't Let Me Get Me,PINK,2002-03-09,60,8,21
Get The Party Started,PINK,2001-10-27,69,4,24
"Whenever, Whenever",SHAKIRA,2001-10-27,74,6,24
More Than A Woman,AALIYAH,2002-02-02,71,25,24
Don't You Forget It,GLENN LEWIS,2001-12-01,98,30,20
A Thousand Miles,VANESSA CARLTON,2002-03-02,80,5,41
Nothing In This World,KEKE WYATT featuring AVANT,2002-01-05,75,27,20
