Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Let's Go Crazy,PRINCE,1984-08-04,45,1,20
Missing You,JOHN WAITE,1984-06-23,89,1,24
Drive,THE CARS,1984-08-04,51,3,19
She Bop,CYNDI LAUPER,1984-07-21,52,3,18
I Just Called To Say I Love You,STEVIE WONDER,1984-08-18,58,1,26
What's Love Got To Do With It,TINA TURNER,1984-05-19,92,1,28
The Warrior,SCANDAL,1984-06-30,77,7,21
The Glamorous Life,SHEILA E,1984-06-16,86,7,26
Cruel Summer,BANANARAMA,1984-07-21,76,9,18
Cover Me,BRUCE SPRINGSTEEN,1984-08-11,52,7,18
If This Is It,HUEY LEWIS AND THE NEWS,1984-07-21,45,6,17
Hard Habit To Break,CHICAGO,1984-08-04,61,3,25
Lucky Star,MADONNA,1984-08-25,49,4,16
When You Close Your Eyes,NIGHT RANGER,1984-07-14,72,14,17
Caribbean Queen,BILLY OCEAN,1984-08-11,85,1,26
Dynamite,JERMAINE JACKSON,1984-07-21,55,15,17
Torture,JACKSONS,1984-08-18,48,17,12
Stuck On You,LIONEL RICHIE,1984-06-23,72,3,19
Ghostbusters,RAY PARKER JNR.,1984-06-16,68,1,21
The Lucky One,LAURA BRANIGAN,1984-08-04,62,20,15
We're Not Gonna Take It,TWISTED SISTER,1984-07-28,80,21,15
I'm So Excited,POINTER SISTERS,1984-08-04,87,9,20
There Goes My Baby,DONNA SUMMER,1984-08-11,59,21,14
On The Dark Side,JOHN CAFFERTY &amp; THE BEAVER BROWN BAND,1984-08-18,86,7,22
Go Insane,LINDSAY BUCKINGHAM,1984-07-28,70,23,16
Are We Ourselves,THE FIXX,1984-08-18,60,15,15
Some Guys Have All The Luck,ROD STEWART,1984-08-25,57,10,17
Lights Out,PETER WOLF,1984-07-14,56,12,14
Bop 'Til You Drop,RICK SPRINGFIELD,1984-08-18,67,20,22
Swept Away,DIANA ROSS,1984-09-01,62,19,14
Sunglasses At Night,COREY HART,1984-05-26,75,7,23
Who Wears These Shoes?,ELTON JOHN,1984-09-08,54,16,14
Flesh For Fantasy,BILLY IDOL,1984-08-25,64,29,12
Blue Jean,DAVID BOWIE,1984-09-15,54,8,18
Desert Moon,DENNIS DeYOUNG,1984-09-08,61,10,22
Rock Me Tonite,BILLY SQUIER,1984-07-07,51,15,16
Strut,SHEENA EASTON,1984-08-25,75,7,25
I Feel For You,CHAKA KHAN,1984-09-08,73,3,26
(What) In The Name Of Love,NAKED EYES,1984-08-11,73,39,12
Shine Shine,BARRY GIBB,1984-09-01,64,37,10
Wake Me Up Before You Go Go,WHAM!,1984-09-08,80,1,24
Better Be Good To Me,TINA TURNER,1984-09-15,63,5,21
The Last Time I Made Love,JOYCE KENNEDY &amp; JEFFREY OSBOURNE,1984-08-18,76,40,12
What About Me,KENNY ROGERS &amp; KIM CARNES,1984-09-15,60,15,19
You Take Me Up,THOMPSON TWINS,1984-08-25,80,44,9
When Doves Cry,PRINCE,1984-06-02,57,1,21
If Ever You're In My Arms Again,PEABO BRYSON,1984-05-12,90,10,25
Out Of Touch,DARYL HALL &amp; JOHN OATES,1984-09-29,48,1,23
A Girl In Trouble (Is A Temporary Thing),ROMEO VOID,1984-09-01,80,35,13
Strung Out,STEVE PERRY,1984-09-08,79,40,13
Only When You Leave,SPANDAU BALLET,1984-07-28,68,34,12
On The Wings Of A Nightingale,EVERLY BROTHERS,1984-09-01,85,50,12
All Of You,JULIO IGLESIAS &amp; DIANA ROSS,1984-07-07,85,19,16
I Can't Hold Back,SURVIVOR,1984-09-15,85,13,23
Body Rock,MARIA VIDAL,1984-09-08,89,48,12
I Can Dream About You,DAN HARTMAN,1984-05-05,84,6,25
Left In The Dark,BARBRA STREISAND,1984-09-22,68,50,12
Round & Round,RATT,1984-06-16,88,12,18
New Girl Now,HONEYMOON SUITE,1984-09-08,85,57,7
In The Name Of Love,RALPH MacDONALD &amp; BILL WITHERS,1984-09-01,89,58,10
Leave A Tender Moment Alone,BILLY JOEL,1984-07-07,72,27,15
Sugar Don't Bite,SAM HARRIS,1984-09-15,82,36,14
Dancing In The Dark,BRUCE SPRINGSTEEN,1984-05-26,36,2,21
Sad Songs,ELTON JOHN,1984-06-09,49,5,19
It Ain't Enough,COREY HART,1984-09-29,65,17,19
Layin' It On The Line,JEFFERSON STARSHIP,1984-09-08,82,66,6
Bouncing Off The Wall,MATTHEW WILDER,1984-09-22,78,52,9
Just The Way You Like It,S.O.S. BAND,1984-08-11,87,64,10
Right By Your Side,EURYTHMICS,1984-07-21,67,29,12
Sexy Girl,GLENN FREY,1984-06-30,63,20,15
"Teacher, Teacher",.38 SPECIAL,1984-09-29,71,25,11
What The Big Girls Do,VAN STEPHENSON,1984-08-04,83,45,9
17,RICK JAMES,1984-07-14,75,36,14
Cool It Now,NEW EDITION,1984-09-22,84,4,25
