Song,Artist,count
 Allemande - Cello Suite No 1 in G Minor MWV 1007 ,Johann-Sebastian-Bach,1
 Already Home,Jason-Karaban,1
 Back To My Old Home Town,Jack-Norworth,1
 Broken Arrows,Granville-Automatic,1
 Harvest  ,Death-Has-No-Dominion,1
 How Can I Keep From Singing,St-Phillips-Boy-s-Choir,1
 I Want'a Do Something Freaky To You,Leon-Haywood,1
 I'm Only Happy When It Rains,Kat-Graham,1
 Indigo Puff (Layla Rework),Sundara-Karma,1
 Island ,Ethel-and-the-Chordtones-ft-Ryan-Levine,1
 It Don't mean a Thing (If It Ain't Got That Swing,TVD-NOLA-Band,1
 Love My Way,Cruel-Black-Dove,1
 Lovely Afternoon   ,John-Stauffer,1
 My Least Favorite Life,Lera-Lynn,1
" Piano Concerto No. 5 In E Flat Major, Op. 73",Sense8-Cast,1
 Softly & Tenderly,True-Blood-Cast,1
" Souca Na Na (Parody lyric to ""Iko Iko"")",Zap-Mama,1
 Sundown ,Sennen,1
 Symphony No. 5 In C Sharp Minor - Adagietto ,Extreme-Music,1
 The Cat Came Back (feat. Lori Petty),Orange-is-the-New-Black-Cast,1
 This Is Love,The-Script,1
 You're The Warden,Sideboob,1
"""... Governments Should Be Afraid of Their People...""",Dario-Marianelli,1
"""A Bunch of Muppets""",Dialogue,1
"""A Life Without You (Is No Life At All)"" ",John-C-Reilly,1
"""A Niceâ€¦ Softâ€¦ Landing"" (Tess's Theme)",George-Fenton,1
"""Advance Australia Fair"" Australian National Anthem",Peter-Dodds-Mc-Cormick,1
"""All My Faith""",Marco-Beltrami-Philip-Glass-and-Pete-Anthony,1
"""Barnes Shoots Elias""",Platoon-Soundtrack,1
"""Best Day Ever""",Alan-Silvestri,1
"""Built, Not for Man, but for Man's Absence""",Clint-Mansell,1
"""Can't Repeat the Past?""",Leonardo-DiCaprio-and-Tobey-Maguire,1
"""Din Din!""",Harry-Gregson-Williams,1
"""Frontier Justice""",Tim-Roth-and-Kurt-Russell,1
"""Frosty the Snowman""",Jack-Rollins-and-Steve-Nelson,1
"""Gatsby Believed In the Green Light""",Tobey-Maguire-and-Craig-Armstrong,1
"""German Dance No. 10 in D Major"" from ""Twelve German Dances""",Ludwig-Van-Beethoven,1
"""Hard to Starboard""",James-Horner,1
"""Hasta La Vista, Baby"" (T1000 Freezes)",Brad-Fiedel,1
"""He's Here""",John-Ottman,1
"""Hip Hop 911""",Stocks-McGuire,1
"""I Like Large Parties""",Elizabeth-Debicki,1
"""I Like to Expand My Horizons""",Dialogue,1
"""I Love It When a Plan Comes Together"" / Original ""The A-Team"" Theme",Alan-Silvestri,1
"""I Want to Go Home"" â€“ The Forbidden City",James-Horner,1
"""I Work for Keyser SÃ¶ze""",John-Ottman,1
"""I'll Be Back""",Brad-Fiedel,1
"""In the 1970S...""",Sam-Schacht,1
"""In the Case Django, After You...""",Christoph-Waltz-and-Jamie-Foxx,1
"""It Was Beautiful""",John-Ottman,1
"""It's Over"" (""Good-Bye"")",Brad-Fiedel,1
"""It's a Girl""",Alan-Silvestri,1
"""Let's Make Some Money""",J-Peter-Robinson,1
"""Major Warren Meet Daisy Domergue""",Jennifer-Jason-Leigh-Kurt-Russell-and-Samuel-L-Jackson,1
"""Matrix Reloaded"" Suite",Don-Davis,1
"""No Time for Love, Dr. Jones""",Dialogue,1
"""O, We're Going Home""",Thomas-Newman,1
"""Oh Look, Carnage!""",Kreng,1
"""Pomp and Circumstance,"" Op. 39: March, No. 1 In D",The-Royal-Philharmonic-Orchestra-Conducted-By-Louis-Clark,1
"""Return""",John-Williams,1
"""Run""",Marco-Beltrami-Philip-Glass-and-Pete-Anthony,1
"""Seeing Your Boy Become a Man""",Alan-Silvestri,1
"""Social Event of the Season""",Dialogue,1
"""Somehow the High-Rise Played into the Hands of the Most Petty Impulses""",Clint-Mansell,1
"""Son of the Bloody Nigger Killer of Baton Rouge""",Samuel-L-Jackson-Walton-Goggins-and-Bruce-Dern,1
"""Take Her to Sea, Mr. Murdoch""",James-Horner,1
"""The End Will Come""",Alan-Silvestri,1
"""This Here Is Daisy Domergue""",Kurt-Russell-and-Michael-Madsen,1
"""Trust Me""",Brad-Fiedel,1
"""Uncle Charlie's Stew""",Samuel-L-Jackson-DemiA-n-Bichir-and-Walton-Goggins,1
"""War, He Sung, Is Toil and Trouble"" (from Alexander's Feast)",Harry-Christophers-The-Sixteen-and-The-Symphony-of-Harmony-and-Invention,1
"""Was He Slow?""",Kid-Koala,2
"""We're All Gonna Die, Aren't We?""",Kreng,1
"""We're Not Programs, Gerty, We're People""",Clint-Mansell,1
"""We're Through""",J-Peter-Robinson,1
"""What Are Our Odds?""",Alan-Silvestri,1
"""Whatever will be, will be (Que sera sera)""",Jay-Livinggston-and-Ray-Evans,1
"""Where's the Boat?""",George-Fenton,1
"""Where's the Plate?""",George-Fenton,1
"""You Are So Fuckin' Ugly""",Kreng,1
"""You Don't Dream In Cryo. ....""",James-Horner,1
"""You're Going to Like This One""",Marco-Beltrami-Philip-Glass-and-Pete-Anthony,1
#1,Training-Day-The-Soundtrack,1
#1 (RAC Remix),Madison,1
#1 Crush,Garbage,2
#1 Spice,Young-Cardamom-and-HAB,1
#1Nite,Cobra-Starship,1
#1Nite (One Night),Cobra-Starship,2
#3 Ashed,Trevor-Rabin,1
#32,DoeD-N-D-D-D-DsD-N-D-D-D-Michael-Klyagin,1
#9 Dream,Jose-Gonzalez,1
#Findfrank,Stephen-Rennicks,1
#LITO (J-3 Remix),Press-Play,1
#SELFIE,The-Chainsmokers,2
#STUPiDFACEDD,Wallpaper,3
#Selfie,The-Chainsmokers,1
#Turn Down For What,Megha-Maan-presents-The-Trap-feat-Trophyy,1
$,Those-Darlins,1
$100 Bill Y'all,Ice-Cube,1
$160 Million Chinese Man,David-Holmes,1
$165 Million + Interest (Intro) The Round Up,David-Holmes,1
$4 Vic / Nothing but You + Me (FTL),EL-P,1
$50 Million Ransom,Lalo-Schifrin,1
$55 Motel,Jesse-Jaymes,1
'68 Comeback,Retribution-Gospel-Choir,1
'Bout Time,Louis-Armstrong,1
'Days of Vengeance' Title,N-A,1
'Deed I Do,Diana-Krall,1
'Deed I Do,Ray-Charles,2
"'Eric Apologizes' from ""A Walk to Remember""",Mervyn-Warren,1
'Imi Au IÃ¡ 'Oe,Keola-Beamer,1
'Introduccion' from Suite Punta Del Este,Astor-Piazzolla,1
'Lethal Weapon 3' Trailer Score,John-Eric-Alexander,1
'Rondo' from 'Cirque du Soleil - Mystere',Rene-Dupere,1
'Round Midnight,Bettye-LaVette,1
'Round Midnight,Miles-Davis,1
'S Wonderful,Audrey-Hepburn-and-Fred-Astaire,1
'S Wonderful,Joao-Gilberto,1
'Til Dawn,Drew-Sidora,1
'Til I Get It Right,Tammy-Wynette,2
'Til You're Mine,Moonlight-Crush,1
'Till I Collapse (feat. Nate Dogg),Eminem,1
'Tomorrow' from 'Annie',Martin-Charnin-and-Charles-Strouse,1
"'Zat You, Santa Claus?",Louis-Armstrong-ft-The-Commanders,1
'Ãœlili E,Dennis-Kamakahi,1
(Aftermath),Vancouver-Sleep-Clinic,1
(All Along the) Watchtower,Devlin,2
(Almost) Alone At Last,Harry-Gregson-Williams,1
